4

4
2
1
8
1 2 1
1 3 1
2 1 1
2 4 1
3 1 1
3 4 1
4 2 1
4 3 1

19
15
2
30
1 7 3
1 12 3
2 10 1
2 11 2
2 14 3
2 15 3
3 17 1
4 8 1
6 12 1
6 13 3
7 2 1
8 9 2
9 12 2
10 5 3
10 6 2
11 4 3
11 10 1
11 18 2
12 17 2
13 5 1
14 5 1
14 18 2
15 9 1
15 11 1
15 13 2
16 1 1
16 14 2
17 10 3
18 1 1
19 2 2

12
5
3
41
1 3 1
1 5 2
1 7 2
1 9 3
1 10 2
1 11 2
1 12 1
2 7 2
2 10 1
3 1 2
3 2 2
3 7 3
3 11 1
4 1 3
4 6 1
4 7 2
4 8 1
5 6 3
5 8 2
6 2 3
6 3 2
6 7 2
6 10 1
7 8 1
8 1 3
8 4 1
8 6 1
8 9 3
9 2 3
9 3 2
9 7 2
10 2 1
10 7 3
10 9 3
10 11 2
11 2 1
11 5 3
11 12 3
12 1 1
12 3 2
12 5 2

33
4
1
265
1 5 3
1 17 3
1 19 1
1 21 2
1 24 3
2 4 1
2 7 3
2 10 1
2 14 1
2 16 2
2 17 2
2 18 1
2 20 2
2 28 2
2 30 2
2 32 1
2 33 3
3 1 2
3 11 2
3 17 2
3 21 2
4 2 1
4 5 3
4 12 2
4 15 3
4 17 2
4 19 3
4 25 3
4 29 1
4 30 3
4 31 1
5 2 2
5 4 3
5 6 3
5 8 1
5 9 1
5 11 1
5 14 3
5 17 2
5 18 1
5 20 3
5 24 1
5 27 2
5 31 3
5 32 2
6 3 1
6 11 1
6 14 1
6 15 2
6 16 2
6 21 3
6 25 3
6 27 2
7 4 1
7 9 1
7 10 3
7 12 2
7 15 3
7 16 3
7 26 3
7 27 2
8 2 1
8 10 3
8 19 1
8 29 2
8 33 2
9 6 2
9 8 3
9 14 2
9 18 2
9 21 1
9 23 3
9 27 2
10 11 3
10 13 2
10 15 3
10 19 2
10 20 1
10 22 2
10 26 3
10 29 2
10 32 1
11 2 1
11 7 2
11 15 2
11 19 2
11 20 1
11 32 2
12 1 1
12 7 3
12 9 2
12 14 1
12 16 3
12 17 1
13 3 3
13 5 2
13 20 3
13 27 2
13 28 1
13 30 2
13 33 3
14 4 3
14 16 2
14 17 2
14 25 1
14 28 1
14 29 3
15 5 3
15 7 3
15 10 3
15 14 3
15 16 3
15 17 1
15 25 3
15 30 2
15 33 1
16 4 2
16 6 3
16 8 2
16 14 3
16 19 3
16 20 3
16 21 2
16 22 2
16 24 2
16 25 3
16 28 2
16 30 2
17 2 1
17 4 1
17 7 1
17 14 1
17 16 3
17 24 2
17 25 1
17 27 3
17 29 2
17 31 1
17 32 2
17 33 1
18 4 2
18 6 2
18 7 3
18 9 2
18 15 1
18 32 2
19 4 1
19 8 1
19 10 1
19 11 2
19 17 1
19 18 3
19 21 1
19 29 1
19 30 2
20 5 3
20 8 1
20 10 1
20 17 1
20 22 1
20 26 2
20 29 2
21 7 2
21 8 2
21 16 2
21 19 2
21 23 1
21 26 1
21 30 2
21 33 3
22 5 1
22 8 1
22 11 2
22 13 3
22 14 1
22 15 3
22 16 3
22 17 3
22 19 2
22 25 2
22 26 2
23 6 1
23 11 3
23 12 1
23 16 2
23 19 2
23 28 2
23 30 1
23 32 3
24 8 3
24 9 2
24 10 1
24 19 2
24 20 3
24 21 1
24 22 1
24 28 3
24 32 2
25 1 3
25 2 1
25 8 1
25 9 1
25 15 2
25 17 3
25 21 1
25 26 1
25 27 3
26 3 1
26 6 2
26 10 2
26 11 2
26 12 3
26 15 1
26 21 2
26 22 3
26 28 2
26 32 3
27 6 3
27 22 1
27 23 3
27 31 1
27 33 3
28 6 2
28 8 1
28 9 1
28 15 1
28 20 3
28 30 3
29 2 2
29 5 1
29 7 3
29 8 2
29 14 2
29 16 2
29 19 2
29 20 3
29 25 2
29 26 1
29 28 3
30 4 3
30 6 2
30 14 1
30 15 3
30 19 1
30 21 1
30 25 2
30 33 2
31 1 1
31 2 1
31 3 2
31 5 1
31 7 2
31 8 1
31 12 3
31 19 2
31 24 3
31 30 1
32 4 2
32 8 1
32 9 1
32 13 3
32 22 1
32 33 1
33 12 3
33 23 2
